Date,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
2012-06-01,2912.555,452.5879,255.0253,2214.41,-0.02090,0.00302,-0.01220,-0.02460
2012-06-02,2912.555,452.5879,255.0253,2214.41,0.00000,0.00000,0.00000,0.00000
2012-06-03,2912.555,452.5879,255.0253,2214.41,0.00000,0.00000,0.00000,0.00000
2012-06-04,2908.204,451.9257,256.5094,2214.7,-0.00149,-0.00146,0.00582,0.00013
2012-06-05,2926.195,451.0073,256.75,2227.45,0.00619,-0.00203,0.00094,0.00576
2012-06-06,2991.189,451.3318,260.3036,2279.42,0.02221,0.00072,0.01384,0.02333
2012-06-07,3009.326,451.2753,259.9204,2279.28,0.00606,-0.00013,-0.00147,-0.00006
2012-06-08,3004.794,450.3421,259.0319,2297.82,-0.00151,-0.00207,-0.00342,0.00813
2012-06-09,3004.794,450.3421,259.0319,2297.82,0.00000,0.00000,0.00000,0.00000
2012-06-10,3004.794,450.3421,259.0319,2297.82,0.00000,0.00000,0.00000,0.00000
2012-06-11,2992.902,451.3211,258.0947,2268.94,-0.00396,0.00217,-0.00362,-0.01257
2012-06-12,3012.695,449.5294,257.8116,2295.4,0.00661,-0.00397,-0.00110,0.01166
2012-06-13,3008.84,450.7219,256.1037,2280.13,-0.00128,0.00265,-0.00662,-0.00665
2012-06-14,3023.605,451.0696,259.0887,2304.83,0.00491,0.00077,0.01166,0.01083
2012-06-15,3055.275,453.2507,259.009,2328.66,0.01047,0.00484,-0.00031,0.01034
2012-06-16,3055.275,453.2507,259.009,2328.66,0.00000,0.00000,0.00000,0.00000
2012-06-17,3055.275,453.2507,259.009,2328.66,0.00000,0.00000,0.00000,0.00000
2012-06-18,3063.736,452.755,261.6982,2332.07,0.00277,-0.00109,0.01038,0.00146
2012-06-19,3102.313,453.406,264.3572,2355.01,0.01259,0.00144,0.01016,0.00984
2012-06-20,3109.003,453.2212,262.2705,2351.14,0.00216,-0.00041,-0.00789,-0.00164
2012-06-21,3052.006,451.9084,257.0931,2299.16,-0.01833,-0.00290,-0.01974,-0.02211
2012-06-22,3048.997,450.3626,257.9774,2315.65,-0.00099,-0.00342,0.00344,0.00717
2012-06-23,3048.997,450.3626,257.9774,2315.65,0.00000,0.00000,0.00000,0.00000
2012-06-24,3048.997,450.3626,257.9774,2315.65,0.00000,0.00000,0.00000,0.00000
2012-06-25,3005.268,451.3358,262.5855,2278.98,-0.01434,0.00216,0.01786,-0.01584
2012-06-26,3010.816,450.9223,263.9397,2289.86,0.00185,-0.00092,0.00516,0.00477
2012-06-27,3040.127,450.4873,265.4377,2310.98,0.00974,-0.00096,0.00568,0.00922
2012-06-28,3035.783,450.9317,262.4573,2306.22,-0.00143,0.00099,-0.01123,-0.00206
2012-06-29,3126.299,453.3819,272.3567,2363.79,0.02982,0.00543,0.03772,0.02496
2012-06-30,3126.299,453.3819,272.3567,2363.79,0.00000,0.00000,0.00000,0.00000
2012-07-01,3126.299,453.3819,272.3567,2363.79,0.00000,0.00000,0.00000,0.00000
2012-07-02,3138.5,454.1741,272.8688,2369.75,0.00390,0.00175,0.00188,0.00252
2012-07-03,3166.464,453.779,280.1898,2385.06,0.00891,-0.00087,0.02683,0.00646
2012-07-04,3163.52,452.9368,280.1898,2385.06,-0.00093,-0.00186,0.00000,0.00000
2012-07-05,3143.862,451.9007,281.7556,2373.91,-0.00621,-0.00229,0.00559,-0.00467
2012-07-06,3111.298,452.3565,275.3062,2352.34,-0.01036,0.00101,-0.02289,-0.00909
2012-07-07,3111.298,452.3565,275.3062,2352.34,0.00000,0.00000,0.00000,0.00000
2012-07-08,3111.298,452.3565,275.3062,2352.34,0.00000,0.00000,0.00000,0.00000
2012-07-09,3098.082,452.4787,280.8506,2348.52,-0.00425,0.00027,0.02014,-0.00162
2012-07-10,3084.65,452.8241,276.545,2329.46,-0.00434,0.00076,-0.01533,-0.00812
2012-07-11,3084.864,453.293,278.3081,2329.71,0.00007,0.00104,0.00638,0.00011
2012-07-12,3056.187,453.1684,279.1566,2318.09,-0.00930,-0.00027,0.00305,-0.00499
2012-07-13,3102.143,454.2772,282.2652,2356.4,0.01504,0.00245,0.01114,0.01653
2012-07-14,3102.143,454.2772,282.2652,2356.4,0.00000,0.00000,0.00000,0.00000
2012-07-15,3102.143,454.2772,282.2652,2356.4,0.00000,0.00000,0.00000,0.00000
2012-07-16,3101.659,455.5428,285.0261,2350.94,-0.00016,0.00279,0.00978,-0.00232
