Date,Trading Index,Open Price,Highest Price,Lowest Price,Settlement Price (yuan/ton),Close Price,Settlement Volume (ton),Turnover (yuan)
2020-12-04,SZA-2019,54.04,54.04,54.04,54.04,54.04,4,216.16
2020-12-11,SZA-2015,4.55,,,4.55,4.55,0,0
2020-12-11,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-11,SZA-2013,31.70,,,31.70,31.70,0,0
2020-12-10,SZA-2019,35.48,35.48,35.48,35.48,35.48,2,70.96
2020-12-21,SZA-2013,28.53,,,28.53,28.53,0,0
2020-12-18,SZA-2019,23.05,23.05,23.05,23.05,23.05,2,46.10
2020-12-18,SZA-2018,24.01,24.01,24.01,24.01,24.01,1,24.01
2020-12-18,SZA-2017,4.52,,,4.52,4.52,0,0
2020-12-18,SZA-2016,5.45,5.45,5.45,5.45,5.45,1,5.45
2015-06-26,SZA-2013,43.56,0,0,43.56,43.56,0,0
2015-06-25,SZA-2014,36,43.56,35.64,43.56,43.56,46733,1518478.28
2015-06-25,SZA-2013,43.56,43.56,43.56,43.56,43.56,436,18992.16
2020-12-16,SZA-2015,5.01,5.01,5.01,5.01,5.01,1,5.01
2020-12-16,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-16,SZA-2013,28.53,,,28.53,28.53,0,0
2020-12-15,SZA-2019,25.87,25.87,25.87,25.87,25.87,1,25.87
2020-12-15,SZA-2018,40.00,40.00,32.93,32.93,32.93,1581,63232.93
2020-12-24,SZA-2013,28.53,,,28.53,28.53,0,0
2020-12-23,SZA-2019,20.75,20.75,20.75,20.75,20.75,1,20.75
2020-12-23,SZA-2018,19.45,19.45,19.45,19.45,19.45,1,19.45
2020-12-23,SZA-2017,4.52,,,4.52,4.52,0,0
2020-12-23,SZA-2016,5.45,,,5.45,5.45,0,0
2020-12-23,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-23,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-28,SZA-2019,16.81,16.81,16.81,16.81,16.81,2,33.62
2020-12-28,SZA-2018,15.76,15.76,15.76,15.76,15.76,1,15.76
2020-12-28,SZA-2017,4.52,,,4.52,4.52,0,0
2020-12-28,SZA-2016,7.26,7.26,7.26,7.26,7.26,11,79.86
2020-12-28,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-28,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-28,SZA-2013,28.53,,,28.53,28.53,0,0
2020-12-04,SZA-2018,56.34,56.34,56.34,56.34,56.34,2,112.68
2020-12-04,SZA-2017,5.58,5.58,4.56,4.56,4.56,50002,329510.14
2020-12-04,SZA-2016,5.05,5.05,4.13,4.13,4.13,4,19.28
2020-12-04,SZA-2015,4.63,,,4.63,4.63,0,0
2020-12-10,SZA-2018,45.17,45.17,45.17,45.17,45.17,2,90.34
2020-12-10,SZA-2017,5.02,,,5.02,5.02,0,0
2020-12-10,SZA-2016,4.09,,,4.09,4.09,0,0
2020-12-10,SZA-2015,5.56,5.56,4.55,4.55,4.55,2,10.11
2020-12-10,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-10,SZA-2013,31.70,,,31.70,31.70,0,0
2020-12-18,SZA-2015,5.01,,,5.01,5.01,0,0
2020-12-18,SZA-2014,33.73,,,33.73,33.73,0,0
2020-12-18,SZA-2013,28.53,,,28.53,28.53,0,0
