,Date,Settlement Price (yuan/ton),Highest Price,Lowest Price,Settlement Volume (ton),Turnover (yuan),Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
71,2020-07-08,27.57,30.0,27.0,93567.0,2662816.56,-0.0043336944745395725,3841,6663.464,530.1214,142.5187,6496.14,1.0042344304391906,1.0015758927145995,1.0037800566268964,1.007842571432561
72,2020-07-09,27.42,28.6,26.04,93924.0,2532802.02,-0.0054406964091403545,3842,6629.543000000001,530.9169,141.5669,6461.31,0.9949094044779113,1.0015005996739617,0.9933215781507971,0.9946383544689615
73,2020-07-10,27.1,28.6,24.91,77023.0,2058156.97,-0.011670313639679077,3843,6685.366,531.3642,142.1855,6528.96,1.0084203390791793,1.0008425047309661,1.0043696655079681,1.0104700130468898
74,2020-07-11,27.1,--,--,--,--,0.0,3844,6685.366,531.3642,142.1855,6528.96,1.0,1.0,1.0,1.0
75,2020-07-13,27.81,29.53,26.22,34229,994780.79,0.026199261992619904,3846,6668.102,530.8972,141.8748,6467.84,0.9974176432524412,0.9991211301024796,0.9978148264063494,0.9906386315737882
76,2020-07-14,27.69,28.1,27.05,75945.0,2099275.21,-0.004314994606256617,3847,6718.74,531.663,141.2065,6555.4,1.007594064997806,1.0014424638140869,0.9952895087781622,1.0135377498515732
77,2020-07-15,27.71,27.98,27.05,76133.0,2089736.20,0.0007222824124233362,3848,6801.991999999999,532.5739,142.251,6615.07,1.0123910137912762,1.0017133033519352,1.0073969682698742,1.009102419379443
78,2020-07-16,27.71,28.0,26.44,76344.0,2097337.20,0.0,3849,6772.573,533.2203,141.8418,6592.75,0.9956749434577402,1.001213728273203,0.9971233945631314,0.9966258860450457
79,2020-07-17,27.7,27.99,27.35,123226.0,3408339.21,-0.0003608805485384448,3850,6787.834,532.6813,141.8882,6611.86,1.0022533533414848,0.9989891607652597,1.000327125008284,1.0028986386560994
80,2020-07-20,27.71,27.94,27.4,97686.0,2705092.47,0.0003610108303249149,3853,6844.348000000001,533.8489,141.4959,6667.45,1.0083257781495543,1.0021919297711408,0.9972351471087799,1.0084076190360958
