,Date,Settlement Volume (ton),Settlement Price (yuan/ton),Trading Index,Turnover,Return,index_y,MSCI World Index TR,Barclays Global Aggregate Bond Index TR,Bloomberg Commodity Index TR,S&P 500 Total Return Index,MSCI World Index TR Return,Barclays Global Aggregate Bond Index TR Return,Bloomberg Commodity Index TR Return,S&P 500 Total Return Index Return
82,2018-07-26,118481,70.11,BEA,"8,306,199.50",0.011300000000000088,3128,6164.625,476.8212,175.1542,5590.99,1.0001286537335865,0.9985472704621363,1.000331246480506,0.9969686108570094
83,2018-07-27,63045,69.52,BEA,"4,383,030.70",-0.008399999999999963,3129,6148.061,476.852,174.9291,5554.31,0.9973130563497373,1.000064594443368,0.9987148466893743,0.9934394445348678
84,2018-07-30,125260,70.24,BEA,"8,798,173.60",0.010399999999999965,3132,6126.075,476.972,176.0775,5522.81,0.996423913165468,1.0002516504072543,1.0065649454550443,0.9943287285009299
85,2018-07-31,30798,70.02,BEA,"2,156,335.60",-0.003099999999999992,3133,6140.115,476.8624,176.1132,5549.96,1.0022918426561869,0.9997702171196632,1.0002027516292542,1.0049159757442316
86,2018-08-01,17081,69.62,BEA,"1,189,117.70",-0.005700000000000038,3134,6129.4890000000005,475.2855,173.7603,5544.19,0.9982694135207566,0.9966931760608512,0.9866398430100639,0.998960352867408
87,2018-08-02,19275,70.12,BEA,"1,351,561.90",0.007200000000000095,3135,6124.918000000001,474.7979,174.3071,5572.08,0.9992542608364253,0.9989740903099296,1.0031468638118142,1.0050304913792638
88,2018-08-03,19117,70.74,BEA,"1,352,407.70",0.008799999999999919,3136,6147.562,475.5552,175.1222,5598.71,1.0036970290867566,1.0015949944176248,1.0046762294823333,1.0047791847927525
89,2018-08-06,100,70.9,BEA,"7,090.00",0.002299999999999969,3139,6153.513000000001,475.35400000000004,175.4881,5619.05,1.0009680260239753,0.9995769155715257,1.0020893981459804,1.003632979739976
90,2018-08-07,19640,70.49,BEA,"1,384,408.80",-0.005800000000000027,3140,6180.689,475.4412,176.3614,5634.98,1.0044163390895573,1.0001834422346292,1.0049764058075732,1.0028349987987293
91,2018-08-09,22225,70.71,BEA,"1,571,557.80",0.003100000000000103,3142,6174.561,475.7249,175.1584,5627.0,0.9993014911933026,1.0002195027337972,0.9972710870160564,0.9988160470883101
92,2018-08-14,17310,70.31,BEA,"1,217,111.00",-0.005700000000000038,3147,6100.723000000001,473.5753,172.9003,5602.41,1.0047241140453997,0.9985051160242919,1.0028129754145947,1.0064764046881625
93,2018-08-15,7010,70.6,BEA,"494,937.00",0.0040999999999999925,3148,6040.005,473.4372,169.6044,5560.85,0.9900474091349499,0.9997083885075931,0.9809375692234196,0.9925817639194562
94,2018-08-20,4,70.6,BEA,282.40,0.0,3153,6126.621,475.8826,172.0442,5639.53,1.003391795262001,1.0024568357985602,0.9999564084516455,1.0024654884937945
95,2018-08-22,2035,70.63,BEA,"143,741.50",0.000399999999999956,3155,6157.82,477.8228,172.6063,5649.31,1.0019802624620666,1.0020551846436603,1.0018329507430763,0.9996319489541511
96,2018-08-28,4305,69.6,BEA,"299,632.50",-0.014599999999999946,3161,6234.719,477.6735,172.1942,5720.89,1.0011969941860512,1.0004542821274227,0.9953007736094219,1.0002780060496914
97,2018-09-06,9875,64.0,BEA,"632,000.00",-0.08050000000000003,3170,6128.356,476.9066,170.3569,5686.7,0.9962025236206412,1.0025503822420072,0.99682561787812,0.9966420487008094
98,2018-09-14,15,51.2,BEA,768.00,-0.2,3178,6194.967,475.4138,170.4956,5743.19,1.0018730840793513,0.9983859126250781,0.9968911396016893,1.0004250315725296
99,2018-09-17,1,41.0,BEA,41.00,-0.19920000000000004,3181,6177.727,475.9376,169.8655,5711.29,0.9972170957488555,1.0011017770203556,0.9963043034541654,0.9944455955662272
100,2018-09-18,13833,36.15,BEA,"500,085.50",-0.11829999999999995,3182,6211.493,475.1969,171.1087,5742.18,1.0054657643498977,0.9984437035443303,1.007318731584695,1.0054085854509227
101,2018-09-19,5295,30.44,BEA,"161,171.00",-0.15800000000000006,3183,6227.268,474.3057,172.4153,5749.39,1.002539647070358,0.9981245668900617,1.007636081625306,1.0012556206876133
102,2018-09-20,110535,30.32,BEA,"3,351,254.30",-0.003900000000000015,3184,6278.7880000000005,475.5828,173.5,5794.72,1.0082732909519874,1.002692567262,1.0062912050148682,1.0078843146838186
103,2018-09-21,20069,31.11,BEA,"624,417.60",0.02610000000000001,3185,6291.275,475.7063,174.58700000000002,5792.72,1.0019887596141164,1.0002596813846085,1.0062651296829972,0.9996548582157551
104,2018-09-25,24406,32.22,BEA,"786,356.20",0.035700000000000065,3189,6275.217,474.7219,176.0389,5765.25,1.0006020944787648,0.9983510197557971,1.0028032410730359,0.9987682680913873
105,2018-09-26,9999,38.6,BEA,"385,961.40",0.19799999999999995,3190,6264.9619999999995,474.986,175.248,5746.27,0.9983657935653858,1.0005563257140655,0.9955072430014047,0.9967078617579463
106,2018-09-27,3500,46.3,BEA,"162,050.00",0.1995,3191,6264.013000000001,474.085,175.3753,5763.22,0.9998485226247185,0.9981031019861638,1.0007263991600477,1.0029497395701907
107,2018-09-28,2000,55.6,BEA,"111,200.00",0.20090000000000008,3192,6250.698,473.2476,176.3125,5763.42,0.9978743658418333,0.9982336500838457,1.0053439680502327,1.0000347028223806
108,2018-10-08,229,64.0,BEA,"14,656.00",0.1511,3202,6136.257,468.2465,179.9896,5706.66,0.9963642994371491,0.9998851164519861,1.0004824827629142,0.9996076301914555
109,2018-10-09,9170,74.6,BEA,"684,082.00",0.16559999999999994,3203,6122.524,468.4447,180.6428,5700.23,0.9977619907380021,1.0004232813272496,1.0036290985701395,0.9988732463472504
110,2018-10-29,500,61.2,BEA,"30,600.00",-0.17959999999999998,3223,5658.579000000001,470.1202,174.9854,5229.28,0.9968880824869549,0.9985064463660898,0.9931337516572528,0.9934533240623586
111,2018-10-30,500,50.2,BEA,"25,100.00",-0.17969999999999994,3224,5720.477,468.969,173.3082,5311.67,1.0109387886958898,0.9975512645489387,0.9904152003538581,1.0157555150995932
112,2018-10-31,46996,51.69,BEA,"2,429,199.20",0.029700000000000063,3225,5791.723000000001,467.9611,172.5063,5369.49,1.0124545558001545,0.9978508174314293,0.9953729829286786,1.0108854653997705
113,2018-11-01,30497,43.8,BEA,"1,335,768.60",-0.15259999999999996,3226,5846.304,469.3286,173.3351,5426.33,1.0094239658906339,1.0029222514435494,1.004804462213844,1.0105857353305436
114,2018-11-02,116534,43.9,BEA,"5,116,179.60",0.002299999999999969,3227,5834.411,468.1315,173.9684,5392.53,0.9979657233014225,0.9974493350714191,1.003653616607369,0.9937711123355932
115,2018-11-05,44000,49.42,BEA,"2,174,400.00",0.12569999999999992,3230,5845.9,468.6788,174.6514,5422.88,1.001969179065376,1.0011691159428493,1.0039260003540873,1.0056281559861513
116,2018-11-07,500,47.1,BEA,"23,550.00",-0.04690000000000005,3232,5971.545,469.6197,173.6944,5573.06,1.0164890767611565,1.002101422663997,1.0007495781102451,1.021221311099913
117,2018-11-15,8,47.0,BEA,376.00,-0.0020999999999999908,3240,5810.654,468.0497,171.9729,5414.43,1.0058072339000246,1.0009630038019723,0.9779450023969115,1.0109205853687682
118,2018-11-16,212,45.47,BEA,"9,639.60",-0.03259999999999996,3241,5826.514,469.8268,174.1834,5426.86,1.0027294690064148,1.0037968190130238,1.0128537694020394,1.002295717185373
119,2018-11-19,498,41.3,BEA,"20,567.40",-0.0917,3244,5763.188,470.7523,176.1203,5336.7,0.9891314085918269,1.0019698748560109,1.0111198885772121,0.983386341272854
120,2018-11-20,486,37.8,BEA,"18,370.80",-0.0847,3245,5669.638000000001,469.899,172.3143,5240.23,0.9837676647022447,0.9981873694509831,0.9783897710826067,0.9819232859257593
121,2018-11-21,1999,35.0,BEA,"69,960.20",-0.07410000000000005,3246,5692.352,469.4248,173.1042,5256.61,1.0040062522510254,0.9989908469692423,1.0045840652807108,1.0031258169965822
122,2018-11-22,994,41.4,BEA,"41,151.60",0.18290000000000006,3247,5690.887,469.8444,173.1042,5256.61,0.999742637138392,1.0008938598898056,1.0,1.0
123,2018-11-23,559,43.59,BEA,"24,366.80",0.05289999999999995,3248,5665.411,469.5319,169.2182,5222.43,0.9955233692041329,0.9993348861878528,0.9775510935032194,0.9934977105016352
124,2018-11-27,7502,50.16,BEA,"376,277.00",0.15070000000000006,3252,5737.603,468.1805,168.5486,5321.52,1.0004777795040614,0.9984001900494038,0.9961554169023358,1.0032710112986576
125,2018-11-28,14426,50.33,BEA,"726,012.00",0.0034000000000000696,3253,5823.033,467.8359,171.3156,5444.12,1.0148894930513666,0.9992639590927004,1.0164166299809076,1.0230385303447134
126,2018-11-29,225,51.29,BEA,"11,540.00",0.01909999999999989,3254,5838.418000000001,470.2915,171.6788,5433.49,1.0026420939053582,1.0052488490088085,1.0021200637887036,0.9980474346634534
127,2018-11-30,401,50.89,BEA,"20,405.00",-0.00780000000000003,3255,5857.516,469.4245,171.5349,5478.91,1.0032710915867962,0.9981564625344069,0.9991618068159842,1.008359268168341
128,2018-12-03,3731,51.64,BEA,"192,654.60",0.014699999999999937,3258,5930.031999999999,470.5271,172.3902,5538.86,1.0123799917917424,1.0023488335184891,1.0049861573359125,1.010941957433139
