Date,Trading Index,Settlement Volume (ton),Turnover (yuan),Settlement Price (yuan/ton)
2016-06-29,TJEA15,100,"1,400",14.00
2016-06-28,TJEA15,60,876,14.60
2016-06-27,TJEA15,80,"1,264",15.80
2016-06-24,TJEA15,"60,753","850,542",14.00
2016-06-23,TJEA15,"5,323","100,903",18.96
2016-06-22,TJEA15,"4,480","78,400",17.50
2019-05-20,TJEA18,"37,106","465,309",12.54
2019-05-14,TJEA18,"2,827","35,451",12.54
2018-06-29,TJEA17,"50,242","581,668",11.58
2018-06-28,TJEA17,"62,304","857,170",13.76
2018-06-27,TJEA17,"550,988","7,692,880",13.96
2018-06-25,TJEA17,"88,186","1,145,818",12.99
2018-06-22,TJEA17,"412,555","3,812,441",9.24
2018-06-20,TJEA17,"6,671","85,389",12.80
2018-06-19,TJEA17,"346,493","3,805,825",10.98
2018-06-14,TJEA17,"5,000","69,650",13.93
2018-06-13,TJEA17,"40,838","539,062",13.20
2018-06-11,TJEA17,"50,000","617,000",12.34
2018-06-05,TJEA17,"13,000","157,240",12.10
2018-06-01,TJEA17,"4,380","56,064",12.80
2018-05-29,TJEA17,"150,000","1,875,000",12.50
2018-05-11,TJEA17,740,"8,954",12.10
2018-05-04,TJEA17,"78,317","803,170",10.26
2018-05-03,TJEA17,"90,263","1,047,051",11.60
2018-04-23,TJEA17,"300,000","3,000,000",10.00
2017-06-30,TJEA16,"874,273","7,509,125",8.59
2020-01-10,TJEA19,247,"3,952",16.00
2020-01-08,TJEA19,125,"1,963",15.70
2020-01-07,TJEA19,300,"4,800",16.00
2020-01-06,TJEA19,415,"6,433",15.50
2020-01-03,TJEA19,350,"5,460",15.60
2020-01-02,TJEA19,400,"6,320",15.80
2019-12-30,TJEA19,427,"6,576",15.40
2019-10-25,TJEA19,170,"2,385",14.03
2019-08-22,TJEA19,365,"4,818",13.20
2019-08-14,TJEA19,"41,764","523,721",12.54
2019-08-12,TJEA19,387,"4,992",12.90
2019-07-31,TJEA19,400,"5,400",13.50
2019-07-17,TJEA19,400,"5,240",13.10
2019-06-27,TJEA18,"259,430","3,820,863",14.73
2019-06-26,TJEA18,"217,784","3,002,126",13.78
2019-06-21,TJEA18,"209,485","2,932,790",14.00
2019-06-19,TJEA18,"36,026","500,012",13.88
2019-06-18,TJEA18,"148,645","2,077,493",13.98
2019-06-13,TJEA18,"116,566","1,624,290",13.93
2019-06-05,TJEA18,"59,424","808,291",13.60
2020-03-16,TJEA19,322,"5,635",17.50
2020-03-12,TJEA19,350,"5,950",17.00
2020-03-11,TJEA19,342,"5,814",17.00
2020-03-10,TJEA19,260,"4,316",16.60
2020-03-09,TJEA19,280,"4,620",16.50
2020-03-06,TJEA19,330,"5,511",16.70
2020-03-05,TJEA19,340,"5,593",16.45
2020-03-04,TJEA19,275,"4,620",16.80
2020-03-03,TJEA19,250,"4,325",17.30
2020-03-02,TJEA19,350,"5,950",17.00
2020-02-28,TJEA19,240,"3,960",16.50
2020-02-27,TJEA19,300,"4,900",16.33
2020-02-26,TJEA19,200,"3,200",16.00
2020-02-12,TJEA19,"102,363","1,555,918",15.20
2020-01-21,TJEA19,320,"4,848",15.15
2020-01-20,TJEA19,380,"5,700",15.00
2020-01-16,TJEA19,405,"6,156",15.20
2020-01-15,TJEA19,400,"6,320",15.80
2020-01-14,TJEA19,410,"6,806",16.60
2020-01-13,TJEA19,255,"4,208",16.50
2020-04-14,TJEA19,160,"3,072",19.20
2020-04-13,TJEA19,187,"3,553",19.00
2020-04-10,TJEA19,336,"6,552",19.50
2020-04-09,TJEA19,335,"6,633",19.80
2020-04-08,TJEA19,316,"6,478",20.50
2020-04-07,TJEA19,277,"5,540",20.00
2020-04-03,TJEA19,240,"4,680",19.50
2020-04-02,TJEA19,280,"5,488",19.60
2020-04-01,TJEA19,348,"6,960",20.00
2020-03-31,TJEA19,248,"4,836",19.50
2020-03-30,TJEA19,200,"3,800",19.00
2020-03-27,TJEA19,300,"5,550",18.50
2020-03-26,TJEA19,366,"6,698",18.30
2020-03-25,TJEA19,296,"5,476",18.50
2020-03-24,TJEA19,285,"5,130",18.00
2020-03-23,TJEA19,270,"4,914",18.20
2020-03-20,TJEA19,300,"5,400",18.00
2020-03-19,TJEA19,335,"5,762",17.20
2020-03-18,TJEA19,333,"5,661",17.00
2020-03-17,TJEA19,305,"5,429",17.80
2020-05-15,TJEA19,260,"5,460",21.00
2020-05-14,TJEA19,266,"5,381",20.23
2020-05-13,TJEA19,270,"5,535",20.50
2020-05-12,TJEA19,251,"5,020",20.00
2020-05-11,TJEA19,268,"5,226",19.50
2020-05-08,TJEA19,286,"5,548",19.40
2020-05-07,TJEA19,249,"4,823",19.37
2020-05-06,TJEA19,250,"4,875",19.50
2020-04-30,TJEA19,295,"5,605",19.00
2020-04-29,TJEA19,280,"5,404",19.30
2020-04-28,TJEA19,270,"5,130",19.00
2020-04-27,TJEA19,285,"5,301",18.60
2020-04-24,TJEA19,256,"4,608",18.00
2020-04-23,TJEA19,246,"4,551",18.50
2020-04-22,TJEA19,300,"5,490",18.30
2020-04-21,TJEA19,310,"5,828",18.80
2020-04-20,TJEA19,130,"2,418",18.60
2020-04-17,TJEA19,200,"3,800",19.00
2020-04-16,TJEA19,330,"6,270",19.00
2020-04-15,TJEA19,347,"6,420",18.50
2020-06-17,TJEA19,"7,238","192,531",26.60
2020-06-16,TJEA19,"7,424","196,736",26.50
2020-06-15,TJEA19,"7,677","198,067",25.80
2020-06-11,TJEA19,"34,852","871,300",25.00
2020-06-09,TJEA19,"3,450","79,350",23.00
2020-06-08,TJEA19,"3,500","77,000",22.00
2020-06-05,TJEA19,"3,500","78,400",22.40
2020-06-04,TJEA19,"3,600","81,000",22.50
2020-06-03,TJEA19,"3,800","87,400",23.00
2020-06-02,TJEA19,"1,700","38,250",22.50
2020-06-01,TJEA19,"2,200","50,600",23.00
2020-05-28,TJEA19,"1,800","45,000",25.00
2020-05-27,TJEA19,"1,144","28,600",25.00
2020-05-26,TJEA19,"3,000","72,000",24.00
2020-05-25,TJEA19,"2,000","48,000",24.00
2020-05-22,TJEA19,"2,000","46,000",23.00
2020-05-21,TJEA19,"1,800","42,300",23.50
2020-05-20,TJEA19,"2,000","46,000",23.00
2020-05-19,TJEA19,"10,000","220,000",22.00
2020-05-18,TJEA19,"25,000","500,000",20.00
2020-07-17,TJEA19,"164,285","4,407,823",26.83
2020-07-16,TJEA19,"72,900","1,946,430",26.70
2020-07-15,TJEA19,"72,980","1,945,647",26.66
2020-07-14,TJEA19,"72,653","1,945,647",26.78
2020-07-13,TJEA19,"72,820","1,945,750",26.72
2020-07-10,TJEA19,"43,476","1,167,331",26.85
2020-07-09,TJEA19,"58,120","1,556,454",26.78
2020-07-08,TJEA19,"72,060","1,945,620",27.00
2020-07-07,TJEA19,"72,740","1,945,795",26.75
2020-07-06,TJEA19,"72,600","1,945,680",26.80
2020-07-03,TJEA19,"72,870","1,945,629",26.70
2020-07-02,TJEA19,"58,560","1,556,525",26.58
